0	4.18504	4.18504	
1	2.09793	2.09793	
2	1.5381	1.5381	
3	0.185706	0.185706	
4	0.678608	0.678608	
5	1.67279	1.67279	
6	0.581517	0.581517	
7	3.0599	3.0599	
8	0.393968	0.393968	
9	1.00169	1.00169	
10	2.1499	2.1499	
11	3.28154	3.28154	
12	0.976185	0.976185	
13	2.17206	2.17206	
14	3.08819	3.08819	
15	0.87494	0.87494	
16	2.94856	2.94856	
17	0.464129	0.464129	
18	1.08909	1.08909	
19	1.12609	1.12609	
20	1.00275	1.00275	
21	1.28769	1.28769	
22	0.609498	0.609498	
23	3.47102	3.47102	
24	6.02204	6.02204	
25	1.69067	1.69067	
26	0.330984	0.330984	
27	0.694032	0.694032	
28	18.5322	18.5322	
29	17.0771	17.0771	
30	2.18733	2.18733	
31	4.12009	4.12009	
32	1.34773	1.34773	
33	0.512924	0.512924	
34	1.40457	1.40457	
35	0.636073	0.636073	
36	1.48447	1.48447	
37	0.25755	0.25755	
38	0.567933	0.567933	
39	2.12624	2.12624	
40	3.38213	3.38213	
41	3.96155	3.96155	
42	5.34379	5.34379	
43	5.13734	5.13734	
44	6.54126	6.54126	
45	5.52619	5.52619	
46	6.89872	6.89872	
47	3.81546	3.81546	
48	4.41742	4.41742	
49	0.629406	0.629406	
